"firstName","lastName","title","organization","description"
"Michael","Eaton","Leadership Journey: From Software Developer to Leader","Matched Pattern","You’ve spent years working on your technical skills and can write code with the best of them. Then, one day, a leadership position opens up on your team, and you start thinking about it. Should I or shouldn’t I? What if I hate it? What if I love it? What if I'm not that good at it? In this interactive session, we’ll explore “why leadership,” answer some hard questions, and talk about one developer’s path from writing code to leading people."
"Jason","Swett","Using Tests as a Tool to Wrangle Legacy Projects","","Most code in the world is legacy code. Legacy projects tend to be lacking in test coverage. Unfortunately, legacy projects are often written in such a way that it makes it difficult to add tests - tests that are badly needed in order to start paying down technical debt and get the project on the right track.

Fortunately there are some effective ways of wrangling legacy code into submission. If we can break apart a legacy project's entanglement of dependencies, making the code more modular and loosely coupled, we can add tests more easily. But breaking apart dependencies is tricky and requires a few certain techniques in order to be done safely.

Main points:

- Why legacy projects are harder to test than greenfield projects
- Why adding tests to legacy projects is risky
- How to mitigate the risks of modifying legacy code
- What dependency injection is, why it’s useful in testing legacy projects, and how to use it
- How to break dependencies using Michael Feathers’ “sprout class” technique"
"Kathy I. Andersen & Nicholas","Tuck","Stop, Collaborate and Listen","Proxibid ; Hudl","Remember back to the BEST work you’ve ever done with a team of people. There was room for creativity, there was open & free-wheeling dialogue, and a real sense of excitement to dig into the work. Why did it go so well? Because the foundations were in place to make working in concert possible. We’re going to tell you how to recreate that wherever you are right now.

Teams accomplish more than individuals. We need to maximize that work using more interesting, creative and most importantly effective solutions to collaborating. Join for a deep dive on how and when to apply a host of techniques."
"Ash","Banaszek","Fear, Pain, and Loathing: Empathizing with your Users' Plight","Union Pacific","You're a developer given a relatively straightforward assignment: replace an old application with a new technology. ""Make it easy to use... Make it sharp! Oh, and don't change anything.""

This session discusses the basics of user interface usability from a user's perspective. When your application is live, the user is the person who will be using that system day in and day out. They determine your application's success or failure by adopting, undermining, or abandoning your application. With such importance, it is imperative to have some understanding of your users' requirements, constraints, and goals. This session will help you develop skills to build empathy and better communicate with your users, while also meeting the needs and requirements of your project stakeholders."
"Jeff","Fritz","Zero to Community Hero - Start Live Coding on Twitch","Microsoft","You're at a conference, and learning a ton. That's awesome, but how do you continue learning after the event? Let's break out of just socializing and learning from the folks in our local geographic area, and embrace a more global community using the Twitch live video platform to write code, discuss technology topics, and even broadcast local user-groups. 
We'll go beyond just playing Fortnite or League of Legends, and talk about hosting educational content on Twitch. Join one of the leaders of this movement, Jeff Fritz as he gives you an inside look at how to get started streaming, participating, and building new communities with online video"
"Michael K","Perdunn","What can Escape Rooms teach us about Cybersecurity?","","The popularity of Escape Rooms have exploded. In the past four years, they have grown by an astounding 1000%. The premise is simple, a group has 60 minutes to search for clues, put those clues together correctly to solve puzzles, and successfully escape. When Cybersecurity teams respond to an incident, they have a limited amount of time to search through alerts and logs to find clues, put them together correctly to determine the impact, and respond successfully defend to their company from breach. Given the stress of the situation, many teams make mistakes and fail. Applying some simple principles, incident response can be dramatically improved. This interactive presentation will guide participants through the theory behind games such as escape rooms and the proven techniques for solving them. Then we will apply those to Cybersecurity teams through some great stories of incident response success and failures."
"Alison","Hawke","A Hero's Journey: Manual Tester to Automation QA","WWT Asynchrony Labs","**Prologue: Once Upon A Time in Software**
 
Once there was a project that was frustrating, it had lots of bugs and made the team unhappy. For the next project, we tried something new: the QA on the team would learn C# and she would write automated tests before the developers started coding. The team was happy, and the app runs to this day with only bugs caused by bad data the client told us could never exist. 

The end. Or is it really... The Beginning?

This talk is the story of a learning quest, what I've discovered along the way teaching QAs to write test automation in Java, C#, and JavaScript, and my own journey of picking up new languages for fun, like Elixir. It is aimed at QA testers who want to broaden their testing skills, and at developers who want to help them get there. No prior coding knowledge is required for the QAs."
"Cameron","Presley","How Functional Programming Made Me A Better Developer","SentryOne","With the rise in popularity recently, functional programming has become ""The Next Big Thing"". As of today, there are tons of frameworks and tools that can be used to for front-end, back-end, desktop, and mobile development. With that being said, the majority of us are still using object-oriented languages for our day jobs and don't need to learn functional programming, right?

In this talk, I'll walk you through my experiences learning functional programming over the last year, how my style of programming has changed, and now how I think about programming with regards to both functional and object-oriented paradigms"
"Arthur","Doler","How to Work with People: A Guide to Playing Nicely with Others","Aviture","Humans. No matter what we might wish, we have to work with them to get stuff done. Unfortunately, when we join a team it doesn’t come with a manual. Figuring out how to get things done and get everyone pulling in the same direction can be a nightmare.

But it doesn’t have to be! In this example-driven talk you’ll learn what a personality type is, you’ll learn some methods for communicating better with others, and you’ll dip a toe into the psychology of team dynamics - all without having to read a huge textbook or a bunch of manager-focused books trying to sell you something. You’ll come away with tools you can use to be a better teammate and to create a stronger team, regardless of your role. Let’s get started actually working together!"
"John Henry","Müller","From Color Palette to Color System","","Color touches literally every pixel of digital products. That's why it is so important to get color right in a design system.

In this talk, John Henry Müller (Design Director at Hudl) divulges mistakes made and practical lessons learned about color while creating Uniform, Hudl's design system.

What you'll learn:

* Tips and tricks creating a durable color scheme 
* Common pitfalls when defining a color palette
* Understand color contrast for accessibility "
"Beth","Laing","You're Hired! Avoiding missteps and false starts in your new job","Women Who Code, Atlanta","Congratulations on your new job... now what! Starting a new job, especially if it’s your first one, is always exciting... and stressful. Here’s how to take control of the situation and make sure that you’re ready to start strong from day one. As superficial as it sounds, you want to look your best when you are meeting so many people for the first time. But you should dress appropriately for your environment - a suit would be out of place in most technical organizations. The what not to wear part is easy… but what should you wear? Getting the people part right is key.First, ask a lot of questions. Use the 70/30 rule -- ask questions 70% of the time and share your stories and ideas 30% of the time. This is your chance to learn about the company, your project and the people that you will be working with, so you want to spend most of your time listening. Be ready with a plan for getting up-to-speed, even if all the parts are not in place when you start. Chances are your accounts and access might not be fully functional from day one, so be ready with things to do in the meantime. You’ll leave with a checklist of things to do so you walk in the door on day one ready to go."
"Courtney","Heitman","Mapping the User's Journey","Gallup","Do you feel like you don't actually know your users? Do they struggle through the flow of your website, and you don’t know why? 

This session will introduce you to empathy mapping, and how it will help you to relate to your users better. Once we have some empathy (mapping), we'll go over user journey mapping, so we can better understand what questions and pain points our users are having as they move through our site."
"Jonathan","Mills","","Epiq Global",""
"Jeff","Strauss","","World Wide Technology",""
